system:index,availability_status,figure_id,is_valid_month,month,month_of_year,pollutant,processing_branch,support_count_mean,support_count_median,support_count_p10,support_count_p90,system_time_start,temporal_support_fraction_mean,temporal_support_mode,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000000,VALID,FIG_7,1,2019-01,1,NO2,NO2_DAILY_FIRST_LEVEL1,7.434923742786476,6.999999999999996,6.999999999999996,8.0,1546300800000,0.23983624261962844,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000001,NA_NO_VALID_FINAL_RASTER_DATA,FIG_7,0,2019-01,1,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,0.0,0.0,0.0,0.0,1546300800000,,VALID_ORBITAL_OBSERVATIONS,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000002,VALID,FIG_7,1,2019-01,1,CO,CO_DAILY_FIRST,14.300803792250608,14.000000000000002,11.999999999999996,17.000000000000004,1546300800000,0.4613162400908421,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000004,VALID,FIG_7,1,2019-02,2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,3.7564511452594953,4.0,2.0,5.0,1548979200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000005,VALID,FIG_7,1,2019-02,2,CO,CO_DAILY_FIRST,12.889139971734776,13.000000000000005,12.000000000000002,14.000000000000004,1548979200000,0.4603264254751806,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000003,VALID,FIG_7,1,2019-02,2,NO2,NO2_DAILY_FIRST_LEVEL1,5.890877105170184,6.0,4.999999999999998,7.000000000000001,1548979200000,0.21038847043232825,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000007,VALID,FIG_7,1,2019-03,3,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,20.20092780516092,20.0,18.0,24.0,1551398400000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000006,VALID,FIG_7,1,2019-03,3,NO2,NO2_DAILY_FIRST_LEVEL1,11.652146390295608,11.999999999999996,10.0,13.000000000000002,1551398400000,0.37587567880756734,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000008,VALID,FIG_7,1,2019-03,3,CO,CO_DAILY_FIRST,16.763131551054062,17.0,15.000000000000005,19.000000000000004,1551398400000,0.5407461724574758,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000009,VALID,FIG_7,1,2019-04,4,NO2,NO2_DAILY_FIRST_LEVEL1,18.052805912142265,18.0,17.0,18.999999999999996,1554076800000,0.601760207247083,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000b,VALID,FIG_7,1,2019-04,4,CO,CO_DAILY_FIRST,21.098361500412196,21.000000000000007,20.000000000000004,22.999999999999996,1554076800000,0.703278720523658,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000a,VALID,FIG_7,1,2019-04,4,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,30.988982313714114,31.0,29.0,33.0,1554076800000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000c,VALID,FIG_7,1,2019-05,5,NO2,NO2_DAILY_FIRST_LEVEL1,12.717156400895064,12.000000000000004,10.999999999999998,15.000000000000004,1556668800000,0.41023084047438957,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000e,VALID,FIG_7,1,2019-05,5,CO,CO_DAILY_FIRST,21.41049346366741,21.0,19.999999999999993,22.999999999999986,1556668800000,0.6906610737085173,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000d,VALID,FIG_7,1,2019-05,5,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,30.41403305305886,30.0,29.0,33.0,1556668800000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000011,VALID,FIG_7,1,2019-06,6,CO,CO_DAILY_FIRST,24.51972676952067,24.999999999999975,22.999999999999993,25.99999999999999,1559347200000,0.8173242201724812,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000010,VALID,FIG_7,1,2019-06,6,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,37.064076543925765,37.0,36.0,38.0,1559347200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000f,VALID,FIG_7,1,2019-06,6,NO2,NO2_DAILY_FIRST_LEVEL1,22.14285714285715,22.00000000000001,20.999999999999996,23.000000000000004,1559347200000,0.738095240768152,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000012,VALID,FIG_7,1,2019-07,7,NO2,NO2_DAILY_FIRST_LEVEL1,22.161678541985605,22.0,18.000000000000004,25.0,1561939200000,0.7148928501478821,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000014,VALID,FIG_7,1,2019-07,7,CO,CO_DAILY_FIRST,27.593054410552348,27.999999999999993,26.0,28.99999999999999,1561939200000,0.8900985184022824,VALID_DAYS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000013,VALID,FIG_7,1,2019-07,7,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,41.48883734415773,42.0,39.0,44.0,1561939200000,,VALID_ORBITAL_OBSERVATIONS,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
