system:index,aoi_id,expected_month_count,max_valid_area_percent,mean_valid_area_percent,min_valid_area_percent,missing_or_invalid_month_count,period_cv_percent,period_label,period_max_monthly_AOI_mean_mol_m2,period_mean_of_monthly_AOI_means_mol_m2,period_median_of_monthly_AOI_means_mol_m2,period_min_monthly_AOI_mean_mol_m2,period_p90_of_monthly_AOI_means_mol_m2,period_stddev_of_monthly_AOI_means_mol_m2,period_type,pollutant,source_month_count,summary_basis,temporal_completeness_fraction,temporal_completeness_percent,valid_month_count,year,.geo
29,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,73.93758223368141,MAM,6.429664782529535E-4,3.2161119920197004E-4,2.4675498296978984E-4,7.511213638316669E-5,6.429664782529535E-4,2.3779154488268552E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,12.60903261726314,JJA,1.1229549757150506E-4,9.57996737805985E-5,9.139677731197201E-5,8.370674645831843E-5,1.1229549757150506E-4,1.207941211422735E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,70.23243882821181,MAM,6.879884405366733E-4,3.480575775177512E-4,2.325757689977637E-4,1.236085230188166E-4,6.879884405366733E-4,2.444493252171105E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,25.517623272052205,JJA,1.238235178393833E-4,9.967004733791196E-5,1.1067460809407312E-4,6.451201608027946E-5,1.238235178393833E-4,2.5433427194764472E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,56.214425000586665,MAM,3.6039930578169935E-4,2.0884497969910732E-4,1.917871359979123E-4,7.434849731771029E-5,3.6039930578169935E-4,1.1740100448044512E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,34.95269260637135,JJA,1.2343597972241873E-4,8.26049584798084E-5,6.244689727560163E-5,6.193199844140489E-5,1.2343597972241873E-4,2.8872657215068114E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,61.11724127593606,MAM,6.492004146076853E-4,3.487879804482349E-4,2.204035230471686E-4,1.7676000368985076E-4,6.492004146076853E-4,2.1316959155201243E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,82.73848410376075,JJA,1.4420174935842538E-4,6.871866093813676E-5,5.497227018741975E-5,6.981963268565157E-6,1.4420174935842538E-4,5.6856778356617534E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,102.89569312413053,MAM,7.009759641641433E-4,2.8551369223337597E-4,7.990323150415088E-5,7.566188103183365E-5,7.009759641641433E-4,2.937812925878291E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,67.88676114612464,JJA,7.710407318170604E-5,3.987076653621893E-5,2.8947754793117794E-5,1.3560471633832954E-5,7.710407318170604E-5,2.7066972045571935E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,73.95169093734657,MAM,0.0011860950004158742,5.798030747581514E-4,2.8551821231498234E-4,2.6779601154359767E-4,0.0011860950004158742,4.2877417789038063E-4,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,60.049182158199955,JJA,1.0130761882405668E-4,6.5548177415015E-5,8.461295971256866E-5,1.0723953708419643E-5,1.0130761882405668E-4,3.936114445732244E-5,SEASON,SO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
