system:index,analysis_scale_m,completeness,export_format,export_status,figure_role,l3_grid_spacing_m,period,pollutant,processing_branch,product_group,product_id,publication_eligible,source_asset_id,strict_complete,unit,.geo
0,1113.2,1.0,GeoTIFF,READY_FROM_VERIFIED_STAGE2C_ASSET,FIG_4,1113.2,2019,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_ENDPOINT_SPATIAL,ANNUAL_NO2_2019,1.0,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2019_R01,1.0,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1113.2,1.0,GeoTIFF,READY_FROM_VERIFIED_STAGE2C_ASSET,FIG_4,1113.2,2024,NO2,NO2_DAILY_FIRST_LEVEL1,ANNUAL_ENDPOINT_SPATIAL,ANNUAL_NO2_2024,1.0,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_NO2_AOI_KRYVYI_RIH_2024_R01,1.0,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1113.2,6,GeoTIFF,READY_FROM_VERIFIED_ANNUAL_ASSETS,FIG_4,1113.2,2019-2024,NO2,NO2_DAILY_FIRST_LEVEL1,LONG_TERM_CHANGE,CHANGE_NO2_2019_2024,1.0,,1.0,mol/m2; percent,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1113.2,6,GeoTIFF,READY_FROM_VERIFIED_ANNUAL_ASSETS,FIG_4,1113.2,2019-2024,NO2,NO2_DAILY_FIRST_LEVEL1,HOTSPOT_PERSISTENCE,HOTSPOT_PERSISTENCE_NO2_2019_2024,1,,1,count; fraction,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1113.2,1.0,GeoTIFF,READY_FROM_VERIFIED_STAGE2C_ASSET,FIG_5,1113.2,2019,CO,CO_DAILY_FIRST,ANNUAL_ENDPOINT_SPATIAL,ANNUAL_CO_2019,1.0,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2019_R01,1.0,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1113.2,1.0,GeoTIFF,READY_FROM_VERIFIED_STAGE2C_ASSET,FIG_5,1113.2,2024,CO,CO_DAILY_FIRST,ANNUAL_ENDPOINT_SPATIAL,ANNUAL_CO_2024,1.0,projects/ee-ruslan777chernysh/assets/ARTICLE4_STAGE2C_ANNUAL_CO_AOI_KRYVYI_RIH_2024_R01,1.0,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1113.2,6,GeoTIFF,READY_FROM_VERIFIED_ANNUAL_ASSETS,FIG_5,1113.2,2019-2024,CO,CO_DAILY_FIRST,LONG_TERM_CHANGE,CHANGE_CO_2019_2024,1.0,,1.0,mol/m2; percent,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1113.2,6,GeoTIFF,READY_FROM_VERIFIED_ANNUAL_ASSETS,FIG_5,1113.2,2019-2024,CO,CO_DAILY_FIRST,HOTSPOT_PERSISTENCE,HOTSPOT_PERSISTENCE_CO_2019_2024,1,,1,count; fraction,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7000,1.0,GeoTIFF,READY_FROM_MASTER_VERIFIED_SEASONAL_ENGINE,FIG_6,1113.2,MAM 2024,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,SEASONAL_SPATIAL_DEPENDENCY,SO2_MAM_2024,1,,1,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7000,1.0,GeoTIFF,READY_FROM_MASTER_VERIFIED_SEASONAL_ENGINE,FIG_6,1113.2,JJA 2024,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,SEASONAL_SPATIAL_DEPENDENCY,SO2_JJA_2024,1,,1,mol/m2,"{""type"":""MultiPoint"",""coordinates"":[]}"
