system:index,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_p90_mol_m2,availability_status,figure_id,is_valid_month,month,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000000,5.012997926019082E-5,5.165673650078038E-5,6.001225028740009E-5,VALID,FIG_3,1,2019-01,1,2019-01-01,NO2,Tropospheric nitrogen dioxide column number density,1546300800000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000001,,,,NA_NO_VALID_FINAL_RASTER_DATA,FIG_3,0,2019-01,1,2019-01-01,SO2,Sulfur dioxide column number density,1546300800000,mol/m2,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000002,0.036357136555326415,0.03635384184086607,0.036935299706117364,VALID,FIG_3,1,2019-01,1,2019-01-01,CO,Carbon monoxide column number density,1546300800000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000004,8.915520586245134E-4,8.840700029395521E-4,0.0014677037252113223,VALID,FIG_3,1,2019-02,2,2019-02-01,SO2,Sulfur dioxide column number density,1548979200000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000005,0.03666136494180476,0.03651624145592459,0.03786545805633068,VALID,FIG_3,1,2019-02,2,2019-02-01,CO,Carbon monoxide column number density,1548979200000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000003,6.497575098968165E-5,6.607824932768675E-5,8.366204374399211E-5,VALID,FIG_3,1,2019-02,2,2019-02-01,NO2,Tropospheric nitrogen dioxide column number density,1548979200000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000007,6.429664782529535E-4,6.627490511164069E-4,9.394337539561093E-4,VALID,FIG_3,1,2019-03,3,2019-03-01,SO2,Sulfur dioxide column number density,1551398400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000006,5.107607305393955E-5,5.167697930112014E-5,6.47516623107961E-5,VALID,FIG_3,1,2019-03,3,2019-03-01,NO2,Tropospheric nitrogen dioxide column number density,1551398400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000008,0.03928120795918924,0.0395054053278874,0.04063278298739714,VALID,FIG_3,1,2019-03,3,2019-03-01,CO,Carbon monoxide column number density,1551398400000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000009,5.257718193195923E-5,5.106862674424277E-5,6.618189581786282E-5,VALID,FIG_3,1,2019-04,4,2019-04-01,NO2,Tropospheric nitrogen dioxide column number density,1554076800000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_0000000000000000000b,0.040303686377101564,0.040277020099942815,0.04118992779114395,VALID,FIG_3,1,2019-04,4,2019-04-01,CO,Carbon monoxide column number density,1554076800000,mol/m2,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
