system:index,null_month_count,pollutant,row_count,valid_month_count,year,zero_coverage_month_count,.geo
0,0,NO2,12,12,2019,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,NO2,12,12,2020,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,NO2,12,12,2021,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,NO2,12,12,2022,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,NO2,12,12,2023,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,NO2,12,12,2024,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3,SO2,12,9,2019,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3,SO2,12,9,2020,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3,SO2,12,9,2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3,SO2,12,9,2022,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3,SO2,12,9,2023,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3,SO2,12,9,2024,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,CO,12,12,2019,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,CO,12,12,2020,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,CO,12,12,2021,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,CO,12,12,2022,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,CO,12,12,2023,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,CO,12,12,2024,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
