system:index,AOI_max_mol_m2,AOI_mean_mol_m2,AOI_median_mol_m2,AOI_min_mol_m2,AOI_p90_mol_m2,AOI_reduction_sample_count,aoi_id,availability_status,is_valid_month,month,month_end_exclusive,month_of_year,month_start,pollutant,pollutant_long_name,system_time_start,unit,valid_area_fraction,valid_area_km2,valid_area_m2,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000000,6.418269913410768E-5,5.012997926019082E-5,5.165673650078038E-5,2.7275065804133192E-5,6.001225028740009E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-01,2019-02-01,1,2019-01-01,NO2,Tropospheric nitrogen dioxide column number density,1546300800000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000001,,,,,,0,AOI_KRYVYI_RIH,NA_NO_VALID_FINAL_RASTER_DATA,0,2019-01,2019-02-01,1,2019-01-01,SO2,Sulfur dioxide column number density,1546300800000,mol/m2,0.0,0.0,0.0,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000002,0.03770565986633301,0.036357136555326415,0.03635384184086607,0.03477804735302925,0.036935299706117364,698,AOI_KRYVYI_RIH,VALID,1,2019-01,2019-02-01,1,2019-01-01,CO,Carbon monoxide column number density,1546300800000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000004,0.00178204954136163,8.915520586245134E-4,8.840700029395521E-4,-4.392632399685681E-5,0.0014677037252113223,33,AOI_KRYVYI_RIH,VALID,1,2019-02,2019-03-01,2,2019-02-01,SO2,Sulfur dioxide column number density,1548979200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000005,0.03936644271016121,0.03666136494180476,0.03651624145592459,0.03495960310101509,0.03786545805633068,698,AOI_KRYVYI_RIH,VALID,1,2019-02,2019-03-01,2,2019-02-01,CO,Carbon monoxide column number density,1548979200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000003,9.622821380617097E-5,6.497575098968165E-5,6.607824932768675E-5,2.5732761059771292E-5,8.366204374399211E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-02,2019-03-01,2,2019-02-01,NO2,Tropospheric nitrogen dioxide column number density,1548979200000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000007,9.47358668781817E-4,6.429664782529535E-4,6.627490511164069E-4,2.97799299005419E-4,9.394337539561093E-4,33,AOI_KRYVYI_RIH,VALID,1,2019-03,2019-04-01,3,2019-03-01,SO2,Sulfur dioxide column number density,1551398400000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000006,7.372823165496811E-5,5.107607305393955E-5,5.167697930112014E-5,2.7409476388129406E-5,6.47516623107961E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-03,2019-04-01,3,2019-03-01,NO2,Tropospheric nitrogen dioxide column number density,1551398400000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000008,0.04171295091509819,0.03928120795918924,0.0395054053278874,0.03729654476046562,0.04063278298739714,698,AOI_KRYVYI_RIH,VALID,1,2019-03,2019-04-01,3,2019-03-01,CO,Carbon monoxide column number density,1551398400000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000009,7.537403871538118E-5,5.257718193195923E-5,5.106862674424277E-5,3.3338339562760666E-5,6.618189581786282E-5,698,AOI_KRYVYI_RIH,VALID,1,2019-04,2019-05-01,4,2019-04-01,NO2,Tropospheric nitrogen dioxide column number density,1554076800000,mol/m2,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
