system:index,AOI_reduction_sample_count,aggregation_method,aggregation_mode,all_source_element_count,analysis_scale_description,analysis_scale_m,aoi_id,availability_status,coverage_method,daily_composite_count,footprint_metadata,is_valid_month,l3_grid_spacing_m,metadata_selected_source_element_count,month,month_of_year,pollutant,processing_branch,quality_description,reduction_crs,source_band,source_collection,source_element_count,source_selection_mode,support_count_max,support_count_mean,support_count_median,support_count_min,support_count_p10,support_count_p90,system_time_start,temporal_support_description,temporal_support_fraction_mean,temporal_support_mode,total_aoi_area_km2,total_aoi_area_m2,valid_area_fraction,valid_area_km2,valid_area_m2,valid_area_percent,year,.geo
1_1_1_1_1_00000000000000000000,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,440,2019-01,1,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,440,PRODUCT_QUALITY_NOMINAL,10.0,7.434923742786476,6.999999999999996,4.0,6.999999999999996,8.0,1546300800000,valid calendar days contributing to the monthly daily-first composite,0.23983624261962844,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000001,0,orbital-first calendar-month mean,ORBITAL_MONTHLY,439,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,NA_NO_VALID_FINAL_RASTER_DATA,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,0,1113.2,439,2019-01,1,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,439,NATIVE_L3_INGESTION_QA,0.0,0.0,0.0,0.0,0.0,0.0,1546300800000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,0.0,0.0,0.0,0.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000002,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,440,2019-01,1,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,440,NATIVE_L3_MASK,19.0,14.300803792250608,14.000000000000002,10.0,11.999999999999996,17.000000000000004,1546300800000,valid calendar days contributing to the monthly daily-first composite,0.4613162400908421,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000004,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,396,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,396,2019-02,2,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,396,NATIVE_L3_INGESTION_QA,6.0,3.7564511452594953,4.0,2.0,2.0,5.0,1548979200000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000005,698,daily-first calendar-month mean,DAILY_FIRST,396,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,28,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,396,2019-02,2,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,396,NATIVE_L3_MASK,17.0,12.889139971734776,13.000000000000005,11.0,12.000000000000002,14.000000000000004,1548979200000,valid calendar days contributing to the monthly daily-first composite,0.4603264254751806,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000003,698,daily-first calendar-month mean,DAILY_FIRST,396,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,28,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,396,2019-02,2,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,396,PRODUCT_QUALITY_NOMINAL,8.0,5.890877105170184,6.0,4.0,4.999999999999998,7.000000000000001,1548979200000,valid calendar days contributing to the monthly daily-first composite,0.21038847043232825,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000007,33,orbital-first calendar-month mean,ORBITAL_MONTHLY,438,7000 m dissertation-compatible AOI analysis scale; not the native Earth Engine L3 pixel size,7000.0,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,,approximately footprint-scale S5P/TROPOMI support; Earth Engine L3 grid spacing remains 1113.2 m,1,1113.2,438,2019-03,3,SO2,SO2_ORBITAL_MONTHLY_LEVEL1,native Earth Engine L3 SO2 ingestion QA retained; no additional qa_value or PRODUCT_QUALITY filter,EPSG:4326,SO2_column_number_density,COPERNICUS/S5P/OFFL/L3_SO2,438,NATIVE_L3_INGESTION_QA,25.0,20.20092780516092,20.0,17.0,18.0,24.0,1551398400000,per-pixel count of valid orbital L3 observations contributing to the monthly composite,,VALID_ORBITAL_OBSERVATIONS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000006,698,daily-first calendar-month mean,DAILY_FIRST,440,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,440,2019-03,3,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,440,PRODUCT_QUALITY_NOMINAL,16.0,11.652146390295608,11.999999999999996,9.0,10.0,13.000000000000002,1551398400000,valid calendar days contributing to the monthly daily-first composite,0.37587567880756734,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000008,698,daily-first calendar-month mean,DAILY_FIRST,439,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,31,CO source footprint is coarser than the 1113.2 m Earth Engine L3 grid; 1113.2 m is not interpreted as independent native spatial resolution,1,1113.2,439,2019-03,3,CO,CO_DAILY_FIRST,Earth Engine L3 CO ingestion validity mask retained; no additional pixel QA filter,EPSG:4326,CO_column_number_density,COPERNICUS/S5P/OFFL/L3_CO,439,NATIVE_L3_MASK,21.0,16.763131551054062,17.0,13.0,15.000000000000005,19.000000000000004,1551398400000,valid calendar days contributing to the monthly daily-first composite,0.5407461724574758,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_00000000000000000009,698,daily-first calendar-month mean,DAILY_FIRST,417,Earth Engine L3 grid-scale AOI reduction,1113.2,AOI_KRYVYI_RIH,VALID,pixelArea masked by final monthly pollutant raster,30,TROPOMI footprint is coarser than the 1113.2 m Earth Engine L3 grid; not treated as independent 1.1 km observations,1,1113.2,417,2019-04,4,NO2,NO2_DAILY_FIRST_LEVEL1,PRODUCT_QUALITY = NOMINAL; native Earth Engine L3 NO2 validity screening retained,EPSG:4326,tropospheric_NO2_column_number_density,COPERNICUS/S5P/OFFL/L3_NO2,417,PRODUCT_QUALITY_NOMINAL,21.0,18.052805912142265,18.0,16.0,17.0,18.999999999999996,1554076800000,valid calendar days contributing to the monthly daily-first composite,0.601760207247083,VALID_DAYS,441.4874046016281,4.414874046016281E8,1.0,441.4874046016281,4.414874046016281E8,100.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
