system:index,aoi_id,expected_month_count,max_valid_area_percent,mean_valid_area_percent,min_valid_area_percent,missing_or_invalid_month_count,period_cv_percent,period_label,period_max_monthly_AOI_mean_mol_m2,period_mean_of_monthly_AOI_means_mol_m2,period_median_of_monthly_AOI_means_mol_m2,period_min_monthly_AOI_mean_mol_m2,period_p90_of_monthly_AOI_means_mol_m2,period_stddev_of_monthly_AOI_means_mol_m2,period_type,pollutant,source_month_count,summary_basis,temporal_completeness_fraction,temporal_completeness_percent,valid_month_count,year,.geo
0,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,25.678509759167067,MAM,5.257718193195923E-5,4.387232710921508E-5,5.107607305393955E-5,2.796372634174646E-5,5.257718193195923E-5,1.1265759798313494E-5,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,12.951700388313123,JJA,3.853497875267611E-5,3.474763202011969E-5,3.7283690912000465E-5,2.842422639568249E-5,3.853497875267611E-5,4.500409191279457E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,15.713064181570152,SON,6.264222802505603E-5,5.13418443663403E-5,4.705174567010573E-5,4.433155940385914E-5,6.264222802505603E-5,8.06737695728491E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,24.663197429903317,ANNUAL,6.497575098968165E-5,4.5521643208160473E-5,4.5691652536982436E-5,2.796372634174646E-5,6.264222802505603E-5,1.1227092737764792E-5,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,14.762698788944833,MAM,4.235573478419223E-5,3.5645996970372775E-5,3.50790380364593E-5,2.9503218090466803E-5,4.235573478419223E-5,5.262311163052533E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,13.955050670953575,JJA,4.752193691036277E-5,4.183123707644809E-5,4.41654424099055E-5,3.3806331909076024E-5,4.752193691036277E-5,5.83757033030505E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,5.501051928532032,SON,5.0794283899872403E-5,4.716861463406703E-5,4.5845819482988784E-5,4.4865740519339904E-5,5.0794283899872403E-5,2.5947699849891868E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,15.589088926367904,ANNUAL,5.121228368523234E-5,4.1978885171102564E-5,4.326058859704886E-5,2.9503218090466803E-5,5.0794283899872403E-5,6.544125739621047E-6,ANNUAL,NO2,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,11.96228404848972,MAM,4.8030329229948086E-5,4.2189637599664586E-5,4.282185379967931E-5,3.5716729769366364E-5,4.8030329229948086E-5,5.0468442887002974E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,14.946334548533773,JJA,4.6211417613611764E-5,3.826132511678529E-5,3.55714742906936E-5,3.300108344605051E-5,4.6211417613611764E-5,5.718665654656911E-6,SEASON,NO2,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
