table,field,data_type_in_csv,description
TABLE1_METHOD_METADATA,system:index,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,aggregation_method,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,aggregation_mode,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,analysis_scale_m,float64,"Nominal reduction scale used for AOI statistics, metres."
TABLE1_METHOD_METADATA,aoi_id,object,Stable identifier for the study area.
TABLE1_METHOD_METADATA,l3_grid_spacing_m,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,pollutant,object,"Atmospheric indicator code (NO2, CO, or SO2)."
TABLE1_METHOD_METADATA,pollutant_long_name,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,quality_description,object,Quality-control field generated by the workflow.
TABLE1_METHOD_METADATA,source_band,object,Analyzed source band.
TABLE1_METHOD_METADATA,source_collection,object,Google Earth Engine Sentinel-5P source collection.
TABLE1_METHOD_METADATA,source_selection_mode,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,spatial_interpretation,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,study_period,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,temporal_support,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,unit,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE1_METHOD_METADATA,.geo,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,system:index,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,AOI_max_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE2_MONTHLY_AOI_STATISTICS,AOI_mean_mol_m2,float64,"Area-of-interest mean satellite column value, mol m^-2."
TABLE2_MONTHLY_AOI_STATISTICS,AOI_median_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE2_MONTHLY_AOI_STATISTICS,AOI_min_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE2_MONTHLY_AOI_STATISTICS,AOI_p90_mol_m2,float64,Satellite column statistic expressed in mol m^-2.
TABLE2_MONTHLY_AOI_STATISTICS,AOI_reduction_sample_count,int64,Count-valued field generated by the publication workflow.
TABLE2_MONTHLY_AOI_STATISTICS,aoi_id,object,Stable identifier for the study area.
TABLE2_MONTHLY_AOI_STATISTICS,availability_status,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,is_valid_month,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,month,object,"Calendar month identifier or month label, depending on table."
TABLE2_MONTHLY_AOI_STATISTICS,month_end_exclusive,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,month_of_year,int64,Calendar month number (1-12).
TABLE2_MONTHLY_AOI_STATISTICS,month_start,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,pollutant,object,"Atmospheric indicator code (NO2, CO, or SO2)."
TABLE2_MONTHLY_AOI_STATISTICS,pollutant_long_name,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,system_time_start,int64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,unit,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,valid_area_fraction,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,valid_area_km2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,valid_area_m2,float64,Workflow output field; see manuscript Methods and source code for derivation.
TABLE2_MONTHLY_AOI_STATISTICS,valid_area_percent,float64,Percentage of AOI represented by valid final raster pixels.
TABLE2_MONTHLY_AOI_STATISTICS,year,int64,Calendar year.
TABLE2_MONTHLY_AOI_STATISTICS,.geo,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,system:index,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,AOI_reduction_sample_count,int64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,aggregation_method,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,aggregation_mode,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,all_source_element_count,int64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,analysis_scale_description,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,analysis_scale_m,float64,"Nominal reduction scale used for AOI statistics, metres."
TABLE3_MONTHLY_QC,aoi_id,object,Stable identifier for the study area.
TABLE3_MONTHLY_QC,availability_status,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,coverage_method,object,Workflow output field; see manuscript Methods and source code for derivation.
TABLE3_MONTHLY_QC,daily_composite_count,float64,Count-valued field generated by the publication workflow.
TABLE3_MONTHLY_QC,footprint_metadata,object,Workflow output field; see manuscript Methods and source code for derivation.
